gamma	pr	rho	target
3.7165654348293766	4.032175111012308	2.5974136862594346	2.4019835109599126
1.302439768523239	4.926744061831113	2.436168874903286	1.622949961720484
1.4631089970451263	3.20579878777166	4.361548635563996	1.0370175608759131
3.703538341087147	3.4926242886319914	3.524041312631081	1.915860404912515
3.0013256551804885	3.287319864797793	3.886712161865165	1.5932588983947529
3.219009943053589	2.735795542298004	3.744863339718173	1.5335042749447254
1.4627484245051097	4.854124566685281	3.562931716554202	1.411680866377104
2.056766855085451	2.089863956556808	3.7240656308982976	1.0743427993206625
4.679272310129053	1.5973112410239645	3.9512492555425713	1.3753610477874738
1.232088294166986	2.9041852906375016	4.748559682190665	0.8680647602113236
4.577944137573908	3.762792053408139	3.739567022043009	2.14624695945853
3.4140369444970102	2.397682558170544	4.6693652205489204	1.324039763950116
3.6028643569455014	4.089597007228322	2.207771695100788	2.5833730966402886
1.7079200870531683	4.625565340889153	1.4549481097407029	2.3301958848796103
4.9546561100393305	4.4494079799661765	2.8678158737095027	2.772568219526033
1.4460374548839634	2.62469007518905	2.6927279991333264	1.1872236585317009
1.2039663353630885	2.7674705096030934	2.3606694975623643	1.1880400418064965
1.3589875637511106	2.6806127927021017	4.304493811223905	0.9199489759082736
1.2265040778475358	4.582280644413681	2.3078073920303197	1.5605423546378423
1.4198076752641142	2.4823666177418926	3.3661753534108456	1.0232443446628003
1.4974719077917076	4.060974739267733	4.537678664980749	1.1576509083737854
4.765043354710613	1.3947649926586678	2.7722131833585757	1.548355336187485
1.3359743839213	2.2997529968433787	4.001224272366024	0.8762806362486947
1.3332011305573368	3.951645499015246	4.319456122576956	1.1043895583469017
1.3884630240323572	2.047839939360857	2.825046229229605	1.0032343281774363
2.6841853560998232	1.4050272276216056	2.3561801675992218	1.2651568564554223
4.687104898397268	1.7223686931700994	1.6494326432024495	2.2123208147185696
4.209420665868032	4.9766373324127535	3.9347466342531	2.3073887705975373
4.217827502379747	1.0949780206990891	3.780549459021663	1.105273216144694
4.146889034840734	2.3790657491846603	3.33451477452123	1.7200778624582331
3.3966682871605083	1.2526130113242484	3.697579913240107	1.0726949673167756
4.341518196565419	4.318776412226181	2.04929878154614	3.024813009696026
4.819407083258861	2.720753011977939	2.106347958396224	2.495033074532446
4.645732160951359	3.010873560977487	3.4183480678565084	2.0228570901020864
1.2625145382301528	3.607432264211528	3.571621777511496	1.1292355849239233
4.669836203452098	1.8426140173958825	2.331677626657562	1.9210282719636107
4.369318674026022	3.740380805359407	3.7259607907230894	2.094332489843232
4.135284315090963	2.3093642599316664	2.6729518992621184	1.89018074811525
3.886464728892385	4.745850621382454	1.6847889572595824	3.308732397630304
4.293208628990379	3.7571081455932522	4.308864464868188	1.9348015562625231
3.770267420175335	3.3179637158188187	4.584139393654052	1.6519351197528485
4.52594126570002	1.7184045443845577	1.572156513549468	2.224176631264585
3.0032830682237432	2.291493970828616	1.150677114596657	2.4455737009404257
4.7340074470430915	4.129262215345611	4.423448027166933	2.102181622038242
1.4123084164565327	3.6344179942555632	2.7909946717195955	1.3561343201619542
1.364592898024504	4.4965957630673286	1.5182156538029838	2.01037346946234
2.8242842968544593	1.6541087597937367	3.4818260947445383	1.1583310511804603
4.695276678162856	4.444550281198481	1.2192759708875478	4.137075997443285
4.739634796155157	3.122545732091308	3.267786096397437	2.1281392082847144
1.5701113232844768	1.9522152385733669	4.510478431495574	0.8243616253384856
2.205539749363077	1.9607862740408848	4.995845043730084	0.9303965557119388
1.053017255094883	3.693804928530124	3.304155604816534	1.0849868541810022
2.4858160577001702	3.961596696016667	1.4411048637852681	2.6140978083444004
4.647916584195969	4.8976884210952685	1.8533452099388592	3.5046655460930682
3.8658204526825055	1.9277359803489964	1.0404989384180583	2.676232224104496
3.1826582484791404	4.878823947886877	2.4686122799080525	2.50799192805404
2.0218114722284484	3.3726988307979493	4.190040369019976	1.275704259713598
1.6700161238591271	2.124344284776932	4.12997963195719	0.9268273233438208
2.477173586339536	3.773536466030683	4.844905916741112	1.3890242310796548
2.044858710998394	1.7014512515647762	4.814506811013882	0.8500911707977067
2.0949970771803907	3.4855975846685063	3.3202227988289623	1.4830190166593362
1.1847304013256066	1.012850957773023	2.006768748134081	0.7732748288700201
1.6085649780319657	3.0375290404413584	1.4170836845872057	1.8568711765054
1.647824278021012	2.8448241147575004	1.3695352574341515	1.850105738989833
2.579861504451611	4.208877005485052	3.795466432623563	1.6914093851348977
1.464358261497125	1.6987462272760632	1.7318757625548782	1.1984765926916332
2.258560992057624	4.230800881017648	2.054841002708827	2.156443545506556
4.652678338174303	1.7108310682556476	4.386417779266607	1.3471007624265672
4.476000818214459	2.4789089007086966	2.763980947995469	2.0035853129153725
3.8850675322401345	3.698622219474108	3.3597956739515484	2.0680585971728482
2.9152579529579503	3.7538184763530933	1.4848996680743862	2.714729567674156
2.2161434377673768	2.078551764411438	3.3551288432857858	1.1717224585918395
2.76946989895814	1.677706576503358	4.656146566013108	0.9989482876964804
4.341957994093764	2.3377910383352414	1.913639050061876	2.3031150919121512
3.5702661337222232	4.483129106945864	2.4826269734220645	2.5391314420842663
2.5660698619534705	4.532202967315989	2.7606222909430778	2.052510644946998
4.478912107375514	1.3641138013998793	1.4866812491874706	2.0272282030684967
2.457942679550645	2.059429436927302	3.711097503772089	1.167906702826755
2.2701160364395654	1.1078480204101575	2.0524514055066443	1.1069491716148308
2.5992006987343963	1.8752997630277	1.936228977202572	1.5866345212038857
3.442626705100562	3.7795146815370977	4.150873036153522	1.7704891113864643
2.8078845213137393	1.2452571512984187	4.715944755113981	0.86106272488655
1.1715812496763252	1.0040953390211755	2.576530426754811	0.675703306394874
2.3669963897020248	1.2817545547996918	1.016172363161386	1.7278957755483038
3.8908549524014737	2.7760178589974114	3.933405516295458	1.6571021741394534
2.689547823612715	1.790694605883076	4.418753688846832	1.044000006438174
3.3594888645001735	3.9443884411548815	4.485790128779547	1.7187272640944882
2.8080491818922537	2.0661137435014667	3.2898149176275577	1.3279867305480408
3.068844901971041	2.861232687152935	3.613049298201437	1.5589317967542855
4.952604310626932	3.5526117249643283	3.067291062245044	2.395042329737897
2.626254355931513	1.8968588618031093	4.014504472971366	1.1139608521550841
3.825084105090808	3.880827014655397	4.979027603225642	1.7266740805958585
2.5161292635078083	3.1904995629145776	2.4920390080358783	1.794809671390877
3.210331488768316	4.135170858702617	3.1631862310596195	2.0486099976729477
2.0498837414073745	4.666259942848959	1.665356478313213	2.396599554161829
4.393538655963344	3.4880017302550965	3.5272773040216636	2.0843745881893647
4.823902168773585	2.6759203849502438	2.9571488234387115	2.089292517530408
4.824929706825173	1.2702361798175166	3.350375664657892	1.3525115476680674
4.087676065862539	3.1054069626713225	1.930109113711541	2.5645228120697383
1.914283576890162	1.4617931341062746	3.403196252947448	0.9067813898439702
3.6681993457095454	2.3464913666652407	4.0403490219345155	1.4595752937081328
4.198790762322433	2.1225092175736013	4.9242070180978095	1.3452988087111253
1.94140271135582	2.6400214459151523	4.433394345083366	1.0752101657328486
4.092310918384	4.866356707441048	3.66936137979218	2.3296519284917165
2.4688838631528336	1.034672332625854	1.316535850491388	1.3929496022814678
2.7628355747615285	2.859665509739145	3.3450482581292214	1.5368587164740144
4.251395605497658	1.3213828394828813	4.323952012722112	1.1398288840634212
1.5869810726578468	1.1460260533920297	2.070668323458085	0.9371904383449756
2.7115601061173003	4.6855113719099855	2.474595911516646	2.265875118466484
4.521691486218028	3.4707329396088213	3.42039416212107	2.142017349554835
4.5016216363148045	4.054930772654922	3.691246191093772	2.2237692006254988
3.1296036825348112	4.522765576331137	2.254143991305929	2.505854691740204
2.1665014471228883	4.753751264728815	1.7392431808001287	2.4334227507840245
3.8877549894378447	3.1808728886403674	1.7782901728334315	2.637067744826417
1.1263214763392482	4.871193518184449	1.2149457118072935	2.1250562874255143
1.6544518401116988	4.154894755603128	2.7125151039601296	1.5919191093226672
3.3040774470467067	4.2256081055437	1.6915405638983052	2.8729529213458744
2.6642567217931297	3.624456437551791	2.30868289344939	2.0451602105130986
2.43614052019212	1.2095553922027693	3.808451173680355	0.8796093813467147
4.089717529345844	3.8521375525792414	4.931146883423789	1.7874075179509408
3.7687803088489105	4.199717675717745	1.1241378105670703	3.7523270255569208
3.4278395392666585	4.579695357100501	1.5558192490459457	3.1765007817094557
3.372236403035481	4.678209992213927	1.5068032838278071	3.2357173918290085
2.898953860933532	4.176257806579125	1.9320801848020903	2.5032356121203185
4.4230940147224524	3.276513193609541	1.2701382190374124	3.3778748399077982
4.307626308577785	2.087353026106836	3.0257307333403367	1.7238593351035068
1.4679708690960631	2.103878697262949	1.0103933392303197	1.7483316896338892
1.5531660516793848	3.5705046685995416	4.006688501745744	1.176470271803418
1.13499433484842	2.6159373391596312	2.091197700373344	1.1915519151751692
4.410110064506092	3.3276383926389337	4.850547577224647	1.7393916984190614
4.396037062359318	1.5932227580650202	1.6217022718346925	2.07818095613251
3.0326866042849483	2.9738666132535614	3.1285712620702912	1.6978584610382146
2.4296287176522995	1.8189509389327096	4.590996410271033	0.9811309417211608
3.2391201869253887	1.3411161764426396	1.4074321067108984	1.7568432113784234
3.3361916989962825	3.9419072403184985	3.622285443980645	1.9054052766130032
1.5322207249762931	4.126162624426259	4.011581287967937	1.2553824070567023
1.4130677412827215	1.9699490273271243	1.511187367203886	1.3572186795406926
4.394686757798134	2.140324791209377	2.767905996997286	1.8434363002176677
3.351725743285681	2.000304206170025	1.2674058336845997	2.29998185983302
2.4008325010927614	2.5613768841381233	3.6409894568252064	1.2995947943321051
3.9868956937092133	1.0772134919690295	2.628493762112244	1.278247210424176
2.8202245899730802	3.349771458605588	3.7510246142147134	1.5869910569657804
2.2184982566253466	4.463486767070855	2.076052826566288	2.183974038802746
1.5019658711403086	1.2194099654555577	2.806436247791533	0.8078436426412139
3.67669333101269	1.1756915695847678	1.5568176650288952	1.6663127994660183
4.7467178687984735	2.256932178061718	1.4880909501284392	2.683126978908504
3.239637797089991	3.3662222414516134	2.835214816391196	1.961221458227126
1.8575635086466988	3.3166664953267877	1.096138447922379	2.37077332242416
4.0406974036229615	2.7023111106501445	2.228126711003942	2.213736344258734
3.921364837052116	1.3317193236498444	1.976107278276736	1.6256225574480168
4.11512825813721	4.858399146276854	1.1723428628688444	4.129628284798634
4.87215582767795	4.478025526090521	1.1186331954516486	4.4163147305224335
2.036377466737606	3.359407154210379	3.8163004326361345	1.3388723862041474
4.287288266358665	1.6995827955876726	3.2674727493502496	1.493332505896219
2.656851815749794	3.6707644061691034	3.9668298746888864	1.5679786126702897
2.7029478950605266	1.3237469086148286	2.4212005333627795	1.2156426704745502
1.862782096570812	1.9902840339184704	4.225116692034751	0.9367402967181916
1.7362199280738162	4.587269017689613	2.883976443011477	1.6618186130258594
4.990905166869993	3.3814196652304047	4.2638902940749634	1.9894644580930507
2.483333027081458	4.984121472539162	1.9584594231760402	2.5139376512605947
2.486435243464768	2.208282618138707	2.328698343233229	1.5355334672448553
1.2398335130352982	2.9720164141994716	2.7683373840279946	1.153712979882055
4.354552249599834	3.8896234188607512	1.3346823476234464	3.5623498876912176
4.561113611833076	2.3610715179768866	3.501463043500869	1.7537401416892957
4.687778952474802	3.4339155263764716	1.587988221384041	3.1838656075832463
4.2919694188752455	3.5620033826117656	4.946990851799679	1.7579435274205384
4.557760915808852	1.5002046468064956	1.4677943200560468	2.1583328546659497
1.113465764328061	2.045658294016731	1.197194738693209	1.379343967676051
1.3576449248999245	4.990963467116528	4.0806875232463815	1.2886014794720804
3.061710749224709	1.1218740215137886	2.7640798532226167	1.1147534689000143
3.928307140635501	1.0318341635467791	3.8603777168404667	1.0246906412170258
4.7702636669298935	4.837204187383383	4.364291141689801	2.2993842114749787
2.27319015913383	3.7117633905767455	1.1195893463794273	2.7452294360060954
3.7262121374993145	2.703433136355988	1.1582495678560258	2.9491070069081373
2.7358944194916406	4.4912116727420885	4.801880766488427	1.5996528450930876
4.842299477608352	3.378876172456767	3.772888581485831	2.082451860710357
1.3247361062936265	2.10954918683972	4.870512606409765	0.7574817586073298
2.461816695831317	1.3602211416449412	3.4230432725692417	0.9890686171499752
3.063121226518032	3.1412890158840763	3.413323414225364	1.6789869491238059
4.617504461263991	3.0215277922682033	1.9490797936710516	2.6754827111743262
1.8560652242737363	1.843366717541568	3.1791510937928518	1.0374015759324278
1.3425666580643645	1.9209455266696067	3.2470867953661755	0.8912068270185394
3.697859953618387	1.9991897665002525	3.2563223770378924	1.5067407809661784
4.186912714127444	3.7491629323014903	4.188368994775328	1.9359388838499512
3.5099430565568035	3.3346057723828815	1.564294493770321	2.7353507670244617
2.1214869570990333	2.5792194055819837	4.193456317562437	1.1422949719809412
4.411519909579013	1.406756619148802	2.976157031412565	1.4440282325873413
4.496420459275352	4.89559260750374	3.6975460240298976	2.4399408523892596
2.4606634906154494	3.713419704085021	4.299935646001715	1.4577469909284615
2.9580547502854952	2.5677974884506467	1.2139502236097637	2.5013994451007457
3.9494703219183283	1.6533540189653857	3.701399208675749	1.3282180907026595
1.931279249712501	1.9415545894337376	1.0558558047215714	1.884495193699678
1.0593370879824957	2.1674352833138304	2.7682343525021413	0.9107280886914488
4.564071523908668	3.3553000672166817	1.662713360413011	3.0348219068851967
4.697327820735199	1.5715041045878877	1.5293869556893078	2.1969719093775377
2.8304953863475086	4.1195030143254785	4.381080117929198	1.6314097011384472
1.4345427742861876	2.7285426974754	2.8726419183115697	1.1672970325778622
2.0269235485228863	4.460204791326767	2.793937702586984	1.7988200719762042
4.754251921737573	1.2047996241218963	3.2138953221509032	1.335004234621441
2.59637745160096	1.3749585793013157	1.2377280208194272	1.6983066513894067
1.0159958161091702	3.8113959986864177	1.3491129550898004	1.6941967342776494
1.8567676411272755	2.4485149286331227	1.9525856266756625	1.5258966287580644
2.8741089575806464	3.727584748010602	4.903892056306182	1.4780697407871095
3.565826969161876	4.655555464061452	4.898288118615201	1.840957326837456
3.6424093153699033	2.2204034979304	1.5102226383326678	2.31414110925006
1.5017259954813689	3.058905721331692	4.6809654050257645	0.990628183332814
2.212348569692401	4.9218332716387	3.6526972177685804	1.7265668130482206
3.748003272978583	2.0763656549254077	4.29305419427887	1.3463832919285976
3.384204336982918	4.30518941030499	3.2662657739070777	2.1120230831856253
2.5381210258764906	1.9959641779672244	3.605376638286762	1.1853789604279592
1.2647538773267968	3.6494165099654494	1.7377667478708705	1.6297424755682035
4.156268972341008	2.8414070971477066	4.8873209108302715	1.5544727910585447
3.2448049820791005	3.2194132328166045	2.9676117330712355	1.8761999615628224
1.7759601537372032	1.2235825379173155	1.1820691536909664	1.3558504878939623
1.8680230598466427	4.9749402794444135	1.4352734963556897	2.544589435490774
2.7233716204426384	4.42144172892646	3.6297502724857424	1.8213651953662688
4.333099258673675	4.9193888180722665	4.337877648951516	2.2167475868964943
4.798088776274675	3.3564263348630665	3.8170518835803313	2.054038918237944
4.479867713775528	2.8154513612649	4.633505226895237	1.649877807255998
4.540982585333656	1.2390145524867595	1.2883689349036045	2.089743579302369
3.5111952076136124	3.1023288824386825	4.019160374229991	1.6462801344804625
4.2776849638518035	2.7704232838455614	2.1114610451592903	2.3691138199856185
3.6075513351232336	4.255653613566503	2.235600448935791	2.6205491019040017
1.4012277097610335	2.4161324881685724	3.9761885032922826	0.9227440392652904
3.0548525077933215	3.633659756213352	1.161385825899529	3.091569344054764
1.9494164999047843	2.1157907491181183	4.8193548604788115	0.9251118052457241
1.7267787220435782	3.2834371457835325	3.3038026663485063	1.3100131287779946
4.729775452878936	1.1383488855586177	3.123392831931346	1.3129393061381045
2.9733773164464683	4.926452701924477	3.5320559761950916	2.036471712397703
4.7654210814065365	1.987229613273992	1.6025943261253692	2.4308763344168267
4.3487450532746115	4.208929920413022	4.828992465421694	1.9468816749601363
3.2522230126492606	1.880005576117811	2.1902945557619864	1.6707769154288892
4.072300667232448	2.724749942199932	2.824466576455337	1.9820519070146243
3.881273872232137	1.7990937967979883	2.3311414269322044	1.7307316521255824
3.152707874944796	4.984964847902361	3.248891327815518	2.1994055844821623
4.379718540565501	3.4739862380719626	3.873993871862635	1.981790229925376
2.318099486692837	3.23901575681124	1.2099351441795159	2.4911020548763947
1.1697942596686828	4.090320323198884	4.609584197597481	1.0188318823626308
2.3980267264998583	4.35301571179537	2.0861782947916847	2.236899207319211
1.1857066265858007	1.3768796662288365	4.215556622966888	0.6223134008222858
2.033520611289209	4.46271333617458	1.4908382033434675	2.4672236993389065
3.621004688096498	1.153926841150808	1.0592752051931504	1.9860916151656227
3.0416879932843885	4.6049276047064245	3.1842982449992547	2.097306324329648
3.0532950193673836	1.882085499868752	1.5680858915915168	1.9143402704065515
4.261335555231271	2.108029924559012	4.299657375556992	1.4454208926122136
2.9151908513148665	4.084391756746285	4.10721560110277	1.702642388233482
4.042123771645254	2.254114765870697	4.265227484863218	1.4615770541356476
1.9351146401947517	1.92330892711598	4.749394758929162	0.8852353305379178
3.134066307716418	1.1367063578502077	3.0316038485344636	1.0840317691072652
4.046854701065451	2.9628381187449677	1.4316651451978872	2.8939567853378403
2.4844202418328147	3.799115604340993	1.8650019618868168	2.2496457605638622
4.614583492917085	3.2472052380821137	1.5706948464686978	3.0886963447807747
1.3968103837298909	4.72688712930619	1.551168992795847	2.0631309117364407
2.4424749184348484	1.878802133259946	1.0618626790897283	2.0788416054946395
2.628665314463166	2.170747032414258	2.8922967141919345	1.4045940785504958
3.2160085145380117	4.652976195811672	3.2656810405489947	2.140607919701456
4.6785311387443205	4.964168243521216	1.7994743877272303	3.5925694572383424
3.1420201218693697	2.383916163132274	4.227929998645143	1.3310245811355417
1.2905705682723188	3.252211831571946	1.7605349356847015	1.5440379390110757
1.8254018832757168	4.915574456681947	1.7053175092373984	2.2938433763066355
4.57875590190366	2.062328737814248	4.120673982633146	1.5138002224293448
3.099449585900357	2.8824072472648865	3.0265771085334925	1.718082789508065
4.889784977508692	4.132156297987541	3.8171987012550153	2.3007046349651366
4.444676356595519	4.40399219661876	3.233130537297824	2.460547322667992
1.875710186812492	4.961028140505362	4.448948952687603	1.4462387791188849
4.178428582123819	1.3395276280836057	3.651554434927117	1.2380649818359906
4.491270646600876	1.147568992661954	2.7898474956371278	1.3592013088749608
2.473597322318306	2.4875542719590498	1.332268293562001	2.1490916523372703
3.3568675665555245	4.559021023188947	1.0700367009934766	3.781843601478021
3.0275606978808027	2.0950644983772064	4.492347937964805	1.1882516758228698
3.7627670510763185	1.3504442898155775	2.994329477273282	1.3026933909156302
3.208667458613189	2.285794723161112	2.6470427704130928	1.6645639644060235
1.9215989068899468	4.13309287797191	3.3432760493351683	1.5412845865790743
2.7714657504420783	1.593936830406379	3.8019647006274915	1.077919356452912
2.0759299902586634	3.4095602535019958	1.7581438246319523	2.0064499761109915
2.8717904084945145	2.368060733802195	4.548294093288202	1.2227805424809899
3.312416121192834	2.0740408604081884	1.035145322033607	2.5762051078056225
2.6282114085273114	2.2817721781329303	3.993984284731362	1.2253583440346214
2.582032395002408	4.077180466165109	3.7327564348426336	1.6793684286554678
2.5587940194591177	2.0407898024033435	3.888443482607648	1.158854484546393
1.4721714571393163	3.1305954624256684	1.3061460939683665	1.8784376933104905
4.864584843378873	3.1517230559188634	3.0401164006819363	2.2457003640223374
2.3336783338959397	1.1879378718007687	3.1928175017316027	0.9318163219184298
3.7303352312518285	3.736354395416768	1.2912374374476479	3.2854503437743654
1.7799732610818233	4.1231153980919375	4.424420149473393	1.287927164986299
1.733357213034142	3.331489325738806	3.2606197893075826	1.3308011548005363
3.5122717609454535	2.905736751068749	3.2176908024225384	1.7809430602350904
4.684759141472258	4.4167766380239035	4.672427376914532	2.104384392893352
4.544849289595854	1.4004588983532038	3.593636005914937	1.3308462458591868
1.4674181502573589	1.9461860702086595	4.556884962338328	0.7916534169403611
2.5404295311910063	3.288326542677438	2.1969051438684293	1.950003506988275
2.0461849138355492	4.430118746042624	2.47156336965838	1.9151123098808058
3.6009188801846044	2.207037639055576	2.2320646772003268	1.8869402630571168
4.159231037086725	2.196380853232794	2.37397530410472	1.9616532801094215
3.7470854711958985	1.2804177898218652	1.6282497087381698	1.716572477049522
2.248151544021964	1.451687879686418	4.171938401471857	0.8844646363915297
4.589257990049712	3.5111080093351283	2.3534823822332887	2.616603122462429
3.2278405940416746	2.590934234574811	1.0653794941784156	2.801767334160333
4.396835443094559	2.8634322852407066	3.143856589234397	2.0011617864779883
4.637601613679424	4.846595613729148	2.8920981193561177	2.7877806554669173
4.7397098023061535	4.474016443486856	2.9402469628332275	2.685547009527889
1.4171850743823642	3.2958755392387067	4.862779818627122	0.9800683933859872
2.853736552120532	3.7590701186047375	4.088460728312584	1.6198217909873909
2.7863433136486173	3.3290399011440432	3.9697871583960977	1.5285977009485552
4.4983158580368565	1.919341832710264	2.055549979412911	2.0494490099083627
1.054920981261517	2.409140876968492	2.5493429529418323	0.9984514031907736
1.0259104482487529	4.664778034093494	4.273221489141326	1.0582603295492783
4.201386356042436	4.21521101840974	1.5589000023771649	3.3705194832173313
2.3674717587756158	2.4678619531403534	1.5875699107976162	1.9183878060851256
3.686207741116992	1.8836070846665085	2.5607518891288654	1.6466500441893834
3.0367041123963308	1.9058830029319047	4.327946281464781	1.1564009144719194
1.0085516815358866	2.945887963513002	2.480410306600328	1.0944487466745396
1.1179215637264184	2.8754733047359937	4.752516539426343	0.8224291941030634
4.104941650540649	3.271988048629108	3.955116907523256	1.8428062897731248
4.4271039378078045	4.636887698782224	1.2969470159672434	3.978432838098697
4.260463533521163	1.2920703328444691	1.9612556393941816	1.6753455672791533
3.6086190109845333	4.838396773135708	3.4218141737630954	2.2588794051375354
2.636388002600171	3.3317615442095034	3.5594645756973464	1.5709026826094818
2.4226147932040933	4.415727568202214	2.6219719947100613	2.0198973237695563
4.08586992718868	1.0211389159064308	2.0254357530635967	1.43524302934876
4.322433112025967	1.1194167844918839	3.7652062528945986	1.1336152047651775
4.08394740512334	2.4932934041646444	4.106976769691134	1.5745833003051102
2.2006760471280353	2.1532051126825498	1.8952977988652795	1.5811826136966696
1.2192025549827274	4.149979602144912	4.00187602916348	1.1244213874683096
3.110675323900556	2.107514117355437	4.848598689104295	1.1627985148381674
4.225513035009925	1.685239348102986	4.5652750731071805	1.2489269671186258
3.0094079831082907	4.4133886549949475	3.5436556616572066	1.935979989748743
1.5543232029956884	3.5282665690700847	4.852511705232073	1.063085180586664
1.9505671405252656	4.694423505043819	1.7465993583442785	2.2896807720035346
1.3892632447748392	4.783959911824203	1.232159592869921	2.322483073761481
2.466773912279727	3.9629074578259034	1.7637265840780258	2.3542685895131377
2.492552205636804	4.665735586950476	2.5480809106014704	2.136365647987042
1.425576343901379	1.6459766726600995	4.3766498966346985	0.7322108741556879
4.902046799475173	4.037208853745918	2.6274470355857225	2.744494406218972
3.209433777806564	4.688744408434305	2.147347971553535	2.647227562581075
2.9371551266971867	3.8462900382611926	1.3133660379307577	2.9328615801670392
1.7621464510765639	3.0688805931088137	4.564601514370151	1.0884526979561744
2.263728272983557	4.854523234640718	1.2185509545302975	3.003057117242468
2.771420760585708	1.659774134510433	2.266342985336669	1.424665512003127
2.188869391563982	4.5573184452396065	1.6683209589687782	2.4452586806655545
